,,,,,,,,Matrice de confusion Globale sur la base de test Multi-séquences sans bruit ajouté. (Images de digits de plaques),,,,,
,,,,,,,,,,,,,
,,,,,,,,Reconnaissance globale,,,,,
,,,,,,,,,,,,,
,,,,0,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,
,,,0,87.5,0,0,0,0,0,0,0,12.5,0
,,,1,0,100,0,0,0,0,0,0,0,0
,,,2,0,0,100,0,0,0,0,0,0,0
,,,3,0,0,0,92.3125,0,0,0,0,0,7.69140625
,,,4,0,0,0,0,70.625,0,29.421875,0,0,0
,,,5,0,6.25,0,0,0,93.75,0,0,0,0
,,,6,0,0,0,0,10,10,80,0,0,0
,,,7,0,0,0,0,0,0,0,100,0,0
,,,8,0,0,0,0,0,0,0,0,100,0
,,,9,0,7.69140625,0,7.69140625,0,0,7.69140625,0,7.69140625,69.25
,,,,,,,,,,,,,
,,,,,,,,Résultats en se basant sur des séquences données à la fois.,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Matrice de confusion de chaque digit selon différentes résolutions. Base de test multi-Séquences,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 0,0,1,2,3,4,5,6,7,8,9
,,,2x2,37.5,37.5,0,0,0,25,0,0,0,0
,,,3x2,12.5,37.5,0,0,12.5,0,0,0,37.5,0
,,,3x3,31.25,6.25,0,0,0,12.5,18.75,0,25,6.25
,,,4x3,50,0,0,0,0,0,25,0,25,0
,,,4x4,37.5,0,0,0,20.8333333333,0,8.3333333333,0,33.3333333333,0
,,,5x2,16.6666666667,8.3333333333,0,0,0,12.5,16.6666666667,4.1666666667,25,16.6666666667
,,,5x4,54.1666666667,0,0,4.1666666667,4.1666666667,0,8.3333333333,0,29.1666666667,0
,,,5x5,76.5625,0,0,0,0,0,11.71875,0,11.71875,0
,,,6x3,75,0,0,0,0,0,18.75,0,6.25,0
,,,6x4,62.5,0,0,0,12.5,0,12.5,0,12.5,0
,,,6x5,71.875,0,0,0,7.8125,0,0,0,7.8125,12.5
,,,6x6,59.375,0,0,0,0,0,21.875,0,9.375,9.375
,,,7x7,79.4642857143,0,0,0,0,0,12.5,0,8.0357142857,0
,,,8x3,87.5,0,0,0,0,0,12.5,0,0,0
,,,8x4,37.5,0,0,0,18.75,0,12.5,0,18.75,12.5
,,,8x5,100,0,0,0,0,0,0,0,0,0
,,,8x6,69.6428571429,0,0,0,5.3571428571,0,12.5,0,12.5,0
,,,8x8,87.5,0,0,0,0,0,7.0652173913,0,5.4347826087,0
,,,9x6,75,0,0,0,0,0,12.5,0,12.5,0
,,,9x7,84.7826086957,0,0,0,0,0,7.6086956522,0,7.6086956522,0
,,,9x9,87.5,0,0,0,0,0,12.5,0,0,0
,,,10x4,12.5,0,0,0,25,0,12.5,0,25,25
,,,10x5,100,0,0,0,0,0,0,0,0,0
,,,10x8,75,0,0,0,0,0,12.5,0,12.5,0
,,,10x10,87.5,0,0,0,0,0,0,0,12.5,0
,,,11x7,100,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 1,0,1,2,3,4,5,6,7,8,9
,,,2x2,29.4117647059,47.0588235294,0,0,0,23.5294117647,0,0,0,0
,,,3x2,0,94.1176470588,0,0,0,5.8823529412,0,0,0,0
,,,3x3,0,94.1176470588,0,0,0,2.9411764706,2.9411764706,0,0,0
,,,4x3,0,100,0,0,0,0,0,0,0,0
,,,4x4,0,98.0392156863,0,0,0,0,0,0,1.9607843137,0
,,,5x2,0,31.3725490196,0,11.7647058824,0,5.8823529412,3.9215686275,0,3.9215686275,43.137254902
,,,5x4,0,94.1176470588,0,0,1.9607843137,0,0,0,3.9215686275,0
,,,5x5,0,94.4852941176,0,0,0,0,0,0,5.5147058824,0
,,,6x3,0,97.0588235294,0,0,0,0,0,0,2.9411764706,0
,,,6x4,0,94.1176470588,0,0,0,0,0,0,5.8823529412,0
,,,6x5,0,96.3235294118,0,0,0,0,0,0,3.6764705882,0
,,,6x6,0,98.5294117647,0,0,0,0,1.4705882353,0,0,0
,,,7x7,0,100,0,0,0,0,0,0,0,0
,,,8x3,0,94.1176470588,0,0,0,0,0,0,5.8823529412,0
,,,8x4,0,94.1176470588,0,0,0,0,0,0,5.8823529412,0
,,,8x5,0,100,0,0,0,0,0,0,0,0
,,,8x6,0,100,0,0,0,0,0,0,0,0
,,,8x8,0,100,0,0,0,0,0,0,0,0
,,,9x6,0,100,0,0,0,0,0,0,0,0
,,,9x7,0,100,0,0,0,0,0,0,0,0
,,,9x9,0,100,0,0,0,0,0,0,0,0
,,,10x4,0,94.1176470588,0,0,0,0,0,0,5.8823529412,0
,,,10x5,0,100,0,0,0,0,0,0,0,0
,,,10x8,0,100,0,0,0,0,0,0,0,0
,,,10x10,0,100,0,0,0,0,0,0,0,0
,,,11x7,0,100,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 2,0,1,2,3,4,5,6,7,8,9
,,,2x2,0,0,33.3333333333,0,0,0,0,66.6666666667,0,0
,,,3x2,0,5.5555555556,44.4444444444,22.2222222222,0,0,0,22.2222222222,5.5555555556,0
,,,3x3,0,22.2222222222,36.1111111111,8.3333333333,0,2.7777777778,0,30.5555555556,0,0
,,,4x3,0,0,83.3333333333,0,0,0,0,16.6666666667,0,0
,,,4x4,0,0,88.8888888889,1.8518518519,0,0,0,9.2592592593,0,0
,,,5x2,0,1.8518518519,62.962962963,11.1111111111,0,0,1.8518518519,3.7037037037,18.5185185185,0
,,,5x4,0,0,79.6296296296,3.7037037037,0,0,0,14.8148148148,1.8518518519,0
,,,5x5,0,0,77.7777777778,10.7638888889,0,0,0,11.4583333333,0,0
,,,6x3,0,0,94.4444444444,2.7777777778,0,0,0,2.7777777778,0,0
,,,6x4,0,0,100,0,0,0,0,0,0,0
,,,6x5,0,0,92.3611111111,5.5555555556,0,0,0,2.0833333333,0,0
,,,6x6,0,0,95.8333333333,4.1666666667,0,0,0,0,0,0
,,,7x7,0,0,96.0317460317,1.9841269841,0,0,0,1.9841269841,0,0
,,,8x3,0,0,88.8888888889,5.5555555556,0,0,0,5.5555555556,0,0
,,,8x4,0,0,94.4444444444,5.5555555556,0,0,0,0,0,0
,,,8x5,0,0,100,0,0,0,0,0,0,0
,,,8x6,0,0,97.619047619,2.380952381,0,0,0,0,0,0
,,,8x8,0,0,100,0,0,0,0,0,0,0
,,,9x6,0,0,100,0,0,0,0,0,0,0
,,,9x7,0,0,100,0,0,0,0,0,0,0
,,,9x9,0,0,94.4444444444,0,0,0,0,5.5555555556,0,0
,,,10x4,0,0,94.4444444444,5.5555555556,0,0,0,0,0,0
,,,10x5,0,0,100,0,0,0,0,0,0,0
,,,10x8,0,0,100,0,0,0,0,0,0,0
,,,10x10,0,0,100,0,0,0,0,0,0,0
,,,11x7,0,0,100,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 3,0,1,2,3,4,5,6,7,8,9
,,,2x2,0,84.6153846154,0,7.6923076923,0,0,0,7.6923076923,0,0
,,,3x2,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,3x3,0,11.5384615385,7.6923076923,61.5384615385,0,0,0,7.6923076923,0,11.5384615385
,,,4x3,0,0,0,84.6153846154,0,0,0,0,7.6923076923,7.6923076923
,,,4x4,0,0,5.1282051282,84.6153846154,0,0,0,0,0,10.2564102564
,,,5x2,0,0,0,84.6153846154,0,0,0,0,5.1282051282,10.2564102564
,,,5x4,0,0,0,89.7435897436,0,0,0,0,2.5641025641,7.6923076923
,,,5x5,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,6x3,0,0,0,92.3076923077,0,0,0,0,3.8461538462,3.8461538462
,,,6x4,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,6x5,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,6x6,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,7x7,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,8x3,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,8x4,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,8x5,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,8x6,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,8x8,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,9x6,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,9x7,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,9x9,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,10x4,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,10x5,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,10x8,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,10x10,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,11x7,0,0,0,92.3076923077,0,0,0,0,0,7.6923076923
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 4,0,1,2,3,4,5,6,7,8,9
,,,2x2,5.8823529412,23.5294117647,5.8823529412,0,0,35.2941176471,17.6470588235,0,11.7647058824,0
,,,3x2,0,0,0,0,64.7058823529,0,17.6470588235,0,17.6470588235,0
,,,3x3,0,2.9411764706,0,0,26.4705882353,0,26.4705882353,0,44.1176470588,0
,,,4x3,0,0,0,0,82.3529411765,0,11.7647058824,0,5.8823529412,0
,,,4x4,0,3.9215686275,0,0,74.5098039216,0,15.6862745098,0,5.8823529412,0
,,,5x2,0,0,0,0,52.9411764706,0,45.0980392157,0,1.9607843137,0
,,,5x4,0,1.9607843137,0,0,68.6274509804,0,29.4117647059,0,0,0
,,,5x5,0,0,0,0,65.0735294118,0,34.9264705882,0,0,0
,,,6x3,0,0,0,0,76.4705882353,0,20.5882352941,0,2.9411764706,0
,,,6x4,0,0,0,0,76.4705882353,0,23.5294117647,0,0,0
,,,6x5,0,0,0,0,68.3823529412,0,31.6176470588,0,0,0
,,,6x6,0,0,0,0,79.4117647059,0,20.5882352941,0,0,0
,,,7x7,0,0,0,0,74.3697478992,0,25.6302521008,0,0,0
,,,8x3,0,0,0,0,64.7058823529,0,35.2941176471,0,0,0
,,,8x4,0,0,0,0,67.6470588235,0,32.3529411765,0,0,0
,,,8x5,0,0,0,0,64.7058823529,0,35.2941176471,0,0,0
,,,8x6,0,0,0,0,73.1092436975,0,26.8907563025,0,0,0
,,,8x8,0,0,0,0,79.0281329923,0,20.9718670077,0,0,0
,,,9x6,0,0,0,0,64.7058823529,0,35.2941176471,0,0,0
,,,9x7,0,0,0,0,70.5882352941,0,29.4117647059,0,0,0
,,,9x9,0,0,0,0,70.5882352941,0,29.4117647059,0,0,0
,,,10x4,0,0,0,0,76.4705882353,0,23.5294117647,0,0,0
,,,10x5,0,0,0,0,78.9915966387,0,21.0084033613,0,0,0
,,,10x8,0,0,0,0,70.5882352941,0,29.4117647059,0,0,0
,,,10x10,0,0,0,0,70.5882352941,0,29.4117647059,0,0,0
,,,11x7,0,0,0,0,64.7058823529,0,35.2941176471,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 5,0,1,2,3,4,5,6,7,8,9
,,,2x2,0,6.25,0,0,0,93.75,0,0,0,0
,,,3x2,0,25,0,0,0,68.75,6.25,0,0,0
,,,3x3,0,15.625,0,0,0,53.125,0,0,0,31.25
,,,4x3,0,6.25,0,0,0,93.75,0,0,0,0
,,,4x4,0,0,0,0,0,100,0,0,0,0
,,,5x2,0,2.0833333333,0,0,0,97.9166666667,0,0,0,0
,,,5x4,0,2.0833333333,0,0,0,93.75,0,0,4.1666666667,0
,,,5x5,0,0.390625,0,0,0,93.75,0,0,5.859375,0
,,,6x3,0,3.125,0,0,0,93.75,0,0,3.125,0
,,,6x4,0,0,0,0,0,93.75,0,0,6.25,0
,,,6x5,0,2.34375,0,0,0,93.75,0,0,3.90625,0
,,,6x6,0,4.6875,0,0,0,93.75,0,0,1.5625,0
,,,7x7,0,6.25,0,0,0,93.75,0,0,0,0
,,,8x3,0,6.25,0,0,0,87.5,6.25,0,0,0
,,,8x4,0,3.125,0,0,0,93.75,0,0,3.125,0
,,,8x5,0,6.25,0,0,0,93.75,0,0,0,0
,,,8x6,0,6.25,0,0,0,93.75,0,0,0,0
,,,8x8,0,6.25,0,0,0,93.75,0,0,0,0
,,,9x6,0,6.25,0,0,0,93.75,0,0,0,0
,,,9x7,0,6.25,0,0,0,93.75,0,0,0,0
,,,9x9,0,6.25,0,0,0,93.75,0,0,0,0
,,,10x4,0,6.25,0,0,0,93.75,0,0,0,0
,,,10x5,0,6.25,0,0,0,93.75,0,0,0,0
,,,10x8,0,6.25,0,0,0,93.75,0,0,0,0
,,,10x10,0,6.25,0,0,0,93.75,0,0,0,0
,,,11x7,0,6.25,0,0,0,93.75,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 6,0,1,2,3,4,5,6,7,8,9
,,,2x2,20,0,0,0,0,80,0,0,0,0
,,,3x2,20,10,0,0,0,20,30,0,20,0
,,,3x3,0,15,0,0,5,25,15,0,40,0
,,,4x3,0,0,0,0,10,20,60,0,10,0
,,,4x4,0,26.6666666667,0,0,13.3333333333,10,46.6666666667,0,3.3333333333,0
,,,5x2,0,3.3333333333,0,0,0,26.6666666667,66.6666666667,0,3.3333333333,0
,,,5x4,0,23.3333333333,0,0,13.3333333333,10,53.3333333333,0,0,0
,,,5x5,0,0,0,0,0,10,80,0,10,0
,,,6x3,0,0,0,0,5,25,60,0,10,0
,,,6x4,0,10,0,0,0,10,80,0,0,0
,,,6x5,0,0,0,0,0,10,80,0,10,0
,,,6x6,0,0,0,0,0,10,82.5,0,7.5,0
,,,7x7,0,0,0,0,6.4285714286,10,80,0,3.5714285714,0
,,,8x3,10,0,0,0,0,30,60,0,0,0
,,,8x4,0,10,0,0,5,10,75,0,0,0
,,,8x5,0,0,0,0,0,10,90,0,0,0
,,,8x6,0,0,0,0,5.7142857143,10,84.2857142857,0,0,0
,,,8x8,0,0,0,0,10,10,80,0,0,0
,,,9x6,0,0,0,0,10,10,80,0,0,0
,,,9x7,0,0,0,0,6.0869565217,10,83.9130434783,0,0,0
,,,9x9,0,0,0,0,10,10,80,0,0,0
,,,10x4,0,20,0,0,10,10,60,0,0,0
,,,10x5,0,0,0,0,7.1428571429,10,80,0,2.8571428571,0
,,,10x8,0,0,0,0,10,10,80,0,0,0
,,,10x10,0,0,0,0,10,10,80,0,0,0
,,,11x7,0,0,0,0,0,10,90,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 7,0,1,2,3,4,5,6,7,8,9
,,,2x2,0,57.1428571429,0,0,0,0,0,42.8571428571,0,0
,,,3x2,0,14.2857142857,14.2857142857,0,0,0,0,71.4285714286,0,0
,,,3x3,0,28.5714285714,0,7.1428571429,0,0,0,57.1428571429,0,7.1428571429
,,,4x3,0,0,42.8571428571,0,0,0,0,57.1428571429,0,0
,,,4x4,0,0,19.0476190476,0,0,0,0,76.1904761905,4.7619047619,0
,,,5x2,0,9.5238095238,33.3333333333,9.5238095238,0,0,0,38.0952380952,9.5238095238,0
,,,5x4,0,0,0,9.5238095238,0,0,0,76.1904761905,14.2857142857,0
,,,5x5,0,0,13.3928571429,13.3928571429,0,0,0,73.2142857143,0,0
,,,6x3,0,0,14.2857142857,0,0,0,0,78.5714285714,7.1428571429,0
,,,6x4,0,0,0,0,0,0,0,100,0,0
,,,6x5,0,0,8.9285714286,0,0,0,0,91.0714285714,0,0
,,,6x6,0,0,3.5714285714,0,0,0,0,96.4285714286,0,0
,,,7x7,0,0,0,0,0,0,0,100,0,0
,,,8x3,0,0,14.2857142857,0,0,0,0,85.7142857143,0,0
,,,8x4,0,0,7.1428571429,0,0,0,0,92.8571428571,0,0
,,,8x5,0,0,0,0,0,0,0,100,0,0
,,,8x6,0,0,0,0,0,0,0,100,0,0
,,,8x8,0,0,0,0,0,0,0,100,0,0
,,,9x6,0,0,0,0,0,0,0,100,0,0
,,,9x7,0,0,0,0,0,0,0,100,0,0
,,,9x9,0,0,0,0,0,0,0,100,0,0
,,,10x4,0,0,0,0,0,0,0,100,0,0
,,,10x5,0,0,0,0,0,0,0,100,0,0
,,,10x8,0,0,0,0,0,0,0,100,0,0
,,,10x10,0,0,0,0,0,0,0,100,0,0
,,,11x7,0,0,0,0,0,0,0,100,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 8,0,1,2,3,4,5,6,7,8,9
,,,2x2,20,40,0,0,0,40,0,0,0,0
