,,,,,,,,Matrice de confusion Globale sur la base de test Multi-séquences sans bruit ajouté. (Images de digits de plaques),,,,,
,,,3x2,13.3333333333,26.6666666667,0,0,0,0,20,0,40,0
,,,3x3,0,13.3333333333,0,0,0,0,10,0,66.6666666667,10
,,,4x3,0,0,0,0,0,0,6.6666666667,0,93.3333333333,0
,,,4x4,0,6.6666666667,0,0,0,0,0,0,82.2222222222,11.1111111111
,,,5x2,17.7777777778,6.6666666667,0,0,4.4444444444,6.6666666667,6.6666666667,0,37.7777777778,20
,,,5x4,4.4444444444,8.8888888889,0,0,2.2222222222,0,2.2222222222,0,71.1111111111,11.1111111111
,,,5x5,6.25,12.5,0,0,0,0,0,0,74.5833333333,6.6666666667
,,,6x3,3.3333333333,0,0,6.6666666667,0,0,6.6666666667,0,70,13.3333333333
,,,6x4,6.6666666667,6.6666666667,0,0,0,0,0,0,86.6666666667,0
,,,6x5,0,8.3333333333,0,0,0,0,4.1666666667,0,83.3333333333,4.1666666667
,,,6x6,0,1.6666666667,0,0,0,0,1.6666666667,0,96.6666666667,0
,,,7x7,0,0,0,0,0,0,0,0,100,0
,,,8x3,6.6666666667,0,0,0,0,0,6.6666666667,0,60,26.6666666667
,,,8x4,3.3333333333,16.6666666667,0,0,0,0,0,0,76.6666666667,3.3333333333
,,,8x5,0,0,0,0,0,0,0,0,100,0
,,,8x6,0,0,0,0,0,0,0,0,96.1904761905,3.8095238095
,,,8x8,0,0,0,0,0,0,0,0,96.231884058,3.768115942
,,,9x6,0,0,0,0,0,0,0,0,93.3333333333,6.6666666667
,,,9x7,0,0,0,0,0,0,0,0,95.9420289855,4.0579710145
,,,9x9,0,0,0,0,0,0,0,0,100,0
,,,10x4,0,26.6666666667,0,0,0,0,0,0,73.3333333333,0
,,,10x5,0,0,0,0,0,0,0,0,93.3333333333,6.6666666667
,,,10x8,0,0,0,0,0,0,0,0,100,0
,,,10x10,0,0,0,0,0,0,0,0,100,0
,,,11x7,0,0,0,0,0,0,0,0,100,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 9,0,1,2,3,4,5,6,7,8,9
,,,2x2,38.4615384615,30.7692307692,0,0,0,30.7692307692,0,0,0,0
,,,3x2,0,53.8461538462,0,15.3846153846,0,0,0,0,15.3846153846,15.3846153846
,,,3x3,0,30.7692307692,0,7.6923076923,0,7.6923076923,3.8461538462,0,11.5384615385,38.4615384615
,,,4x3,0,7.6923076923,0,0,0,23.0769230769,0,7.6923076923,7.6923076923,53.8461538462
,,,4x4,0,12.8205128205,0,5.1282051282,0,23.0769230769,0,0,15.3846153846,43.5897435897
,,,5x2,2.5641025641,17.9487179487,0,10.2564102564,0,12.8205128205,0,0,7.6923076923,48.7179487179
,,,5x4,0,12.8205128205,0,2.5641025641,0,15.3846153846,0,0,10.2564102564,58.9743589744
,,,5x5,0,7.6923076923,0,0,0,7.2115384615,7.6923076923,0,7.6923076923,69.7115384615
,,,6x3,0,3.8461538462,0,0,0,11.5384615385,3.8461538462,3.8461538462,7.6923076923,69.2307692308
,,,6x4,0,7.6923076923,0,0,0,7.6923076923,0,0,7.6923076923,76.9230769231
,,,6x5,0,4.8076923077,0,0,0,4.8076923077,7.6923076923,0,10.5769230769,72.1153846154
,,,6x6,0,7.6923076923,0,5.7692307692,0,0,7.6923076923,0,7.6923076923,71.1538461538
,,,7x7,0,7.6923076923,0,7.6923076923,0,0,7.6923076923,0,7.6923076923,69.2307692308
,,,8x3,0,0,0,0,0,23.0769230769,7.6923076923,0,7.6923076923,61.5384615385
,,,8x4,0,19.2307692308,0,0,0,11.5384615385,3.8461538462,0,7.6923076923,57.6923076923
,,,8x5,0,7.6923076923,0,7.6923076923,0,0,7.6923076923,0,7.6923076923,69.2307692308
,,,8x6,0,7.6923076923,0,7.6923076923,0,0,7.6923076923,0,7.6923076923,69.2307692308
,,,8x8,0,7.6923076923,0,7.6923076923,0,0,7.6923076923,0,7.6923076923,69.2307692308
,,,9x6,0,7.6923076923,0,7.6923076923,0,0,7.6923076923,0,7.6923076923,69.2307692308
,,,9x7,0,7.6923076923,0,7.6923076923,0,0,7.6923076923,0,7.6923076923,69.2307692308
,,,9x9,0,7.6923076923,0,7.6923076923,0,0,7.6923076923,0,7.6923076923,69.2307692308
,,,10x4,0,23.0769230769,0,7.6923076923,0,0,7.6923076923,7.6923076923,7.6923076923,46.1538461538
,,,10x5,0,7.6923076923,0,5.4945054945,0,0,7.6923076923,0,7.6923076923,71.4285714286
,,,10x8,0,7.6923076923,0,7.6923076923,0,0,7.6923076923,0,7.6923076923,69.2307692308
,,,10x10,0,7.6923076923,0,7.6923076923,0,0,7.6923076923,0,7.6923076923,69.2307692308
,,,11x7,0,7.6923076923,0,7.6923076923,0,0,7.6923076923,0,7.6923076923,69.2307692308
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,Matrice de confusion de chaque digit avec des bruits ( des bruits forts). Taux de reconnaissance en traitant chaque images et non pas un ensemble de séquence,,
,,,,,,,,,,400 images par résolution d’un digit,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 0,0,1,2,3,4,5,6,7,8,9
,,,3x2,5.5390625,7.07421875,0,0,0.3076171875,19.078125,41.53125,0,26.140625,0.3076171875
,,,4x3,22.15625,2.76953125,0.615234375,0.3076171875,17.234375,3.693359375,12,3.076171875,27.6875,10.4609375
,,,6x4,60,3.076171875,2.4609375,0.9233398438,3.076171875,3.693359375,15.078125,0.3076171875,9.5390625,1.8466796875
,,,8x5,44.28125,0,2.28515625,3.427734375,2.85546875,2.28515625,6.57421875,0.2856445313,24.28125,13.7109375
,,,9x6,53.625,0.8002929688,0.533203125,1.8662109375,0,1.8662109375,11.734375,1.8662109375,22.9375,4.80078125
,,,11x7,52.53125,0.533203125,0.2666015625,4.53125,0.2666015625,2.1328125,6.40234375,1.06640625,26.125,6.1328125
,,,,,,,,,,,,,
,,,Digit 1,0,1,2,3,4,5,6,7,8,9
,,,3x2,3.189453125,29.265625,0,0,11.6328125,5.25390625,44.09375,0.1876220703,3.189453125,3.189453125
,,,4x3,2.25,14.6328125,0.5625,0.3752441406,32.28125,8.0703125,12.953125,1.125,13.8828125,13.8828125
,,,6x4,13.3203125,14.078125,1.125,1.5009765625,14.078125,3.37890625,23.828125,1.3134765625,20.453125,6.94140625
,,,8x5,7.31640625,28.5625,0.6967773438,4.52734375,6.79296875,4.1796875,15.5,0,17.9375,14.46875
,,,9x6,20.171875,23.40625,1.626953125,9.2734375,4.2265625,6.5078125,5.69140625,0.8134765625,14.6328125,13.65625
,,,11x7,7.31640625,32.53125,2.11328125,8.9453125,3.08984375,5.8515625,4.875,0.4877929688,25.1875,9.59375
,, ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 2,0,1,2,3,4,5,6,7,8,9
,,,3x2,20,31.421875,3.076171875,0.6591796875,1.9775390625,1.7578125,35.59375,1.9775390625,3.296875,0.2197265625
,,,4x3,11.421875,4.61328125,16.046875,2.85546875,19.78125,2.197265625,6.59375,12.7421875,15.3828125,8.3515625
,,,6x4,32.75,2.41796875,27.25,1.7578125,4.17578125,0.87890625,6.59375,8.3515625,13.40625,2.41796875
,,,8x5,12.2421875,2.041015625,32.875,15.921875,1.6328125,0.408203125,7.55078125,5.51171875,13.8828125,7.9609375
,,,9x6,15.8046875,1.142578125,30.46875,17.328125,1.7138671875,0.5712890625,6.28515625,5.90625,17.53125,3.23828125
,,,11x7,25.140625,1.142578125,31.25,15.8046875,0.1904296875,0,0.76171875,5.140625,17.328125,3.23828125
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 3,0,1,2,3,4,5,6,7,8,9
,,,3x2,14.1015625,11.7890625,1.025390625,1.5380859375,3.58984375,16.921875,15.3828125,0.5126953125,29.734375,5.3828125
,,,4x3,14.609375,4.61328125,2.306640625,11.7890625,11.7890625,11.28125,12.8203125,1.025390625,14.359375,15.3828125
,,,6x4,24.09375,1.5380859375,7.43359375,20,6.6640625,5.3828125,7.69140625,1.5380859375,16.40625,9.2265625
,,,8x5,15.4765625,5.4765625,0.9521484375,45.46875,2.619140625,2.380859375,5.23828125,1.1904296875,11.1875,10
,,,9x6,22.671875,6,1.333984375,42.21875,2,3.5546875,6.4453125,1.77734375,6.4453125,7.5546875
,,,11x7,25.78125,7.33203125,1.111328125,39.5625,0.6669921875,0,4.4453125,2.22265625,14.4375,4.4453125
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 4,0,1,2,3,4,5,6,7,8,9
,,,3x2,4.4296875,5.36328125,0,0.69921875,6.29296875,15.609375,62,0,3.9609375,1.630859375
,,,4x3,0.69921875,1.630859375,0.2330322266,0.4660644531,31.21875,14.453125,36.84375,2.09765625,6.5234375,5.828125
,,,6x4,10.0234375,0.9321289063,0.2330322266,0,43.375,0.69921875,35.4375,0,7.2265625,2.09765625
,,,8x5,6.92578125,1.0830078125,0.6494140625,2.59765625,49.15625,3.24609375,16.875,0.6494140625,11.8984375,6.92578125
,,,9x6,9.6953125,1.009765625,0.4040527344,3.232421875,38.1875,3.83984375,20,2.01953125,16.5625,5.05078125
,,,11x7,9.5,0.8081054688,1.4140625,2.22265625,35.34375,1.2119140625,32.3125,0.6059570313,16.15625,0.4040527344
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 5,0,1,2,3,4,5,6,7,8,9
,,,3x2,2.76171875,7.30078125,0,0,1.380859375,33.53125,39.84375,0.197265625,13.015625,1.97265625
,,,4x3,1.97265625,0.7890625,0,0.591796875,17.75,27.421875,36.3125,0.591796875,4.33984375,10.25
,,,6x4,11.2421875,1.7744140625,0,0.7890625,13.8046875,23.46875,36.3125,0,8.28125,4.33984375
,,,8x5,9.15625,4.2109375,0.1831054688,3.845703125,2.5625,29.859375,28.203125,0,9.3359375,12.6328125
,,,9x6,15.3828125,4.2734375,0.341796875,2.22265625,3.24609375,32.96875,15.3828125,0.68359375,16.75,8.71875
,,,11x7,9.9140625,4.95703125,0,2.05078125,0.1708984375,43.40625,18.625,0.341796875,16.234375,4.2734375
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 6,0,1,2,3,4,5,6,7,8,9
,,,3x2,1.373046875,7.4140625,0.2746582031,0.2746582031,0.82421875,14.28125,61.28125,0,13.4609375,0.82421875
,,,4x3,2.74609375,0,0,0,16.765625,10.984375,58.25,0.82421875,3.021484375,7.4140625
,,,6x4,14.015625,1.9228515625,3.021484375,0,17.578125,2.47265625,44.25,0,15.9296875,0.82421875
,,,8x5,14.5390625,0.7651367188,0.2551269531,0.7651367188,2.55078125,4.59375,48.96875,0.2551269531,19.640625,7.65234375
,,,9x6,20,2.85546875,0.2380371094,3.80859375,5.23828125,6.42578125,35.21875,1.1904296875,22.375,2.619140625
,,,11x7,14.5234375,1.666015625,0.2380371094,5,0.7138671875,5.7109375,40.9375,0.7138671875,27.859375,2.619140625
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 7,0,1,2,3,4,5,6,7,8,9
,,,3x2,24.25,31.671875,0.2958984375,0.2958984375,1.18359375,0.591796875,23.078125,2.3671875,12.4296875,3.845703125
,,,4x3,11.5390625,5.32421875,7.69140625,0,20.71875,2.958984375,6.8046875,17.15625,14.1953125,13.609375
,,,6x4,35.21875,0.8872070313,10.953125,3.845703125,0.591796875,0.2958984375,5.32421875,23.96875,16.265625,2.662109375
,,,8x5,11.2578125,1.373046875,6.31640625,16.765625,6.59375,1.0986328125,5.4921875,25.828125,11.8125,13.4609375
,,,9x6,22.296875,1.28125,8.4609375,13.328125,5.125,0.2563476563,2.5625,20.5,18.96875,7.1796875
,,,11x7,13.84375,1.5380859375,2.8203125,21.53125,0,3.33203125,1.28125,22.5625,22.8125,10.25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 8,0,1,2,3,4,5,6,7,8,9
,,,3x2,10.1640625,12.9140625,0.2746582031,0,1.6484375,15.6640625,26.09375,0,32.6875,0.5493164063
,,,4x3,13.4609375,1.0986328125,0.82421875,2.47265625,8.515625,8.515625,13.4609375,2.47265625,40.375,8.7890625
,,,6x4,29.953125,3.296875,0.5493164063,0.2746582031,9.3359375,4.66796875,14.015625,0.82421875,31.859375,5.21875
,,,8x5,5.8671875,2.806640625,0.5102539063,2.296875,3.060546875,3.060546875,17.609375,0.7651367188,52.53125,11.484375
,,,9x6,20,1.427734375,0.4760742188,7.140625,0.7138671875,9.5234375,10,3.09375,41.4375,6.1875
,,,11x7,20,2.142578125,0,4.28515625,0.2380371094,3.33203125,13.1015625,0.9521484375,49.75,6.1875
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 9,0,1,2,3,4,5,6,7,8,9
,,,3x2,6.8671875,10.7109375,0,0.5493164063,1.6484375,18.953125,15.109375,0,40.125,6.04296875
,,,4x3,11.2578125,7.4140625,0.5493164063,0.82421875,4.12109375,5.21875,11.5390625,2.47265625,36,20.609375
,,,6x4,31.328125,6.31640625,1.9228515625,1.9228515625,9.609375,1.373046875,15.6640625,1.373046875,10.4375,20.0625
,,,8x5,16.828125,4.3359375,0,8.671875,1.78515625,5.8671875,9.9453125,0,17.34375,35.21875
,,,9x6,30.71875,5.94921875,0,10.4765625,0.7138671875,1.904296875,6.1875,1.1904296875,15.4765625,27.390625
,,,11x7,20.71875,7.140625,0.4760742188,8.5703125,0.7138671875,1.1904296875,5.94921875,0.9521484375,20,34.28125
